backbone,protocol,dataset,seed,method_pair,task_type,metric_type,fullft_metric,peft_metric,fullft_bad_minus_peft_bad,direction
chemberta2,random,bbbp,1000,fullft_vs_lora,classification,auc,0.9696022727272727,0.9688920454545454,-0.0007102272727272929,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,bbbp,1000,fullft_vs_dora,classification,auc,0.9696022727272727,0.9686079545454546,-0.0009943181818181657,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,sider,0,fullft_vs_lora,classification,mean_auc,0.6326743262398066,0.6407640257191135,0.008089699479306933,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,sider,0,fullft_vs_dora,classification,mean_auc,0.6326743262398066,0.641688592975528,0.009014266735721477,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,sider,1,fullft_vs_lora,classification,mean_auc,0.5827047649741096,0.5996781943023831,0.016973429328273504,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,sider,1,fullft_vs_dora,classification,mean_auc,0.5827047649741096,0.6015994214645294,0.01889465649041977,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,sider,2,fullft_vs_lora,classification,mean_auc,0.5396532544780044,0.5494574475408543,0.009804193062849964,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,sider,2,fullft_vs_dora,classification,mean_auc,0.5396532544780044,0.5557024269867524,0.016049172508748044,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,sider,10,fullft_vs_lora,classification,mean_auc,0.5860660436011557,0.5652290321172547,-0.020837011483900936,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,sider,10,fullft_vs_dora,classification,mean_auc,0.5860660436011557,0.56591889872558,-0.020147144875575673,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
