index,backbone,method_comparison,protocol,alt_bootstrap_seed,n_pairs,locked_lower,locked_upper,alt_lower,alt_upper,alt_bootstrap_mean,locked_includes_zero,alt_includes_zero,invariant,zero_inclusion_changed
9,chemberta2,fullft_vs_lora,scaffold,100,36,0.08657824434194333,0.1587261733187385,0.08640868910359596,0.15907003795057598,0.12450678195725855,False,False,True,False
10,chemberta2,fullft_vs_lora,random,0,36,0.009952518384269304,0.07824863316485875,0.009356019035252412,0.07936581880305227,0.04294996386697667,False,False,True,False
10,chemberta2,fullft_vs_lora,random,1,36,0.009952518384269304,0.07824863316485875,0.00998080217009605,0.0778268188041926,0.04265285000159191,False,False,True,False
10,chemberta2,fullft_vs_lora,random,2,36,0.009952518384269304,0.07824863316485875,0.009719644645121577,0.07854801896546644,0.04271031145236309,False,False,True,False
10,chemberta2,fullft_vs_lora,random,7,36,0.009952518384269304,0.07824863316485875,0.010243546003040513,0.07838660517980074,0.04300862981371006,False,False,True,False
10,chemberta2,fullft_vs_lora,random,100,36,0.009952518384269304,0.07824863316485875,0.00957366088888028,0.07900000344263997,0.04306508978834198,False,False,True,False
11,chemberta2,fullft_vs_dora,scaffold,0,36,0.08476647095009814,0.15455168414648687,0.0854875397567216,0.15458452353032928,0.12183989356355737,False,False,True,False
11,chemberta2,fullft_vs_dora,scaffold,1,36,0.08476647095009814,0.15455168414648687,0.08399120319533439,0.1549962878728287,0.12163498542429167,False,False,True,False
11,chemberta2,fullft_vs_dora,scaffold,2,36,0.08476647095009814,0.15455168414648687,0.08409624708735107,0.15512940928398525,0.12159128323857976,False,False,True,False
11,chemberta2,fullft_vs_dora,scaffold,7,36,0.08476647095009814,0.15455168414648687,0.08575103942860243,0.15462765698140074,0.1217660182641973,False,False,True,False
11,chemberta2,fullft_vs_dora,scaffold,100,36,0.08476647095009814,0.15455168414648687,0.08451349550839847,0.1550772791609364,0.12177099268371146,False,False,True,False
12,chemberta2,fullft_vs_dora,random,0,36,0.01147454532957968,0.07970885584958359,0.010867260869694773,0.08039522530669425,0.04418417803250035,False,False,True,False
12,chemberta2,fullft_vs_dora,random,1,36,0.01147454532957968,0.07970885584958359,0.011449113322732135,0.07897767668313521,0.04386334979044191,False,False,True,False
