backbone,dataset,method,lora_alpha,seed,protocol,metric_type,task_type,n7_metric,alpha16_baseline_metric,paired_bad_diff_vs_alpha16,direction,n7_checkpoint,alpha16_baseline_checkpoint
cmpnn,sider,lora,32,2,scaffold,auc,classification,0.618475,0.594403,-0.024071999999999982,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_sider_lora_alpha32_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_sider_lora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,sider,dora,8,0,scaffold,auc,classification,0.616329,0.608458,-0.007870999999999961,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_sider_dora_alpha8_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_sider_dora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,sider,dora,8,1,scaffold,auc,classification,0.61863,0.613473,-0.005156999999999967,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_sider_dora_alpha8_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_sider_dora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,sider,dora,8,2,scaffold,auc,classification,0.584148,0.587158,0.003009999999999957,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_sider_dora_alpha8_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_sider_dora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,sider,dora,32,0,scaffold,auc,classification,0.618072,0.608458,-0.0096139999999999,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_sider_dora_alpha32_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_sider_dora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,sider,dora,32,1,scaffold,auc,classification,0.607455,0.613473,0.006018000000000079,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_sider_dora_alpha32_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_sider_dora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,sider,dora,32,2,scaffold,auc,classification,0.606962,0.587158,-0.019804000000000044,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_sider_dora_alpha32_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_sider_dora_scaffold_seed2/run_0/model_0/model.pt
chemberta2,freesolv,lora,8,0,scaffold,rmse,regression,2.252512376859238,2.1771432116972695,0.07536916516196834,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_freesolv_lora_alpha8_chemberta2_scaffold_seed0/model.pt,dumped/baseline_freesolv_lora_chemberta2_scaffold_seed0/model.pt
chemberta2,freesolv,lora,8,1,scaffold,rmse,regression,2.7505273313372745,2.5534737879847706,0.1970535433525038,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_freesolv_lora_alpha8_chemberta2_scaffold_seed1/model.pt,dumped/baseline_freesolv_lora_chemberta2_scaffold_seed1/model.pt
chemberta2,freesolv,lora,8,2,scaffold,rmse,regression,1.8735325475003013,2.257611117242196,-0.3840785697418949,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_freesolv_lora_alpha8_chemberta2_scaffold_seed2/model.pt,dumped/baseline_freesolv_lora_chemberta2_scaffold_seed2/model.pt
chemberta2,freesolv,lora,32,0,scaffold,rmse,regression,2.1914256157928844,2.1771432116972695,0.014282404095614876,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_freesolv_lora_alpha32_chemberta2_scaffold_seed0/model.pt,dumped/baseline_freesolv_lora_chemberta2_scaffold_seed0/model.pt
